Date,Open,High,Low,Close,Volume,Market Cap
2022/11/27,16457.61,16503.91,16446.59,16489.81,11754.33237,11754.33237
2022/11/26,16521.35,16701.99,16385,16458.57,181804.8167,181804.8167
2022/11/25,16599.55,16666,16342.81,16522.14,182089.4953,182089.4953
2022/11/24,16603.11,16812.63,16458.05,16598.95,206565.9235,206565.9235
2022/11/23,16227.96,16706,16160.2,16603.11,264927.7041,264927.7041
2022/11/22,15781.29,16315,15616.63,16226.94,239548.0662,239548.0662
2022/11/21,16279.5,16319,15476,15781.29,324096.9978,324096.9978
2022/11/20,16700.68,16753.33,16180,16280.23,154842.1348,154842.1348
2022/11/19,16699.43,16822.41,16553.53,16700.68,104963.1556,104963.1556
2022/11/18,16692.56,17011,16546.04,16700.45,214224.1818,214224.1818
2022/11/17,16661.61,16751,16410.74,16692.56,228038.9787,228038.9787
2022/11/16,16900.57,17015.92,16378.61,16662.76,261493.4081,261493.4081
2022/11/15,16617.72,17134.69,16527.72,16900.57,282461.8439,282461.8439
2022/11/14,16331.78,17190,15815.21,16619.46,380210.7775,380210.7775
2022/11/13,16813.16,16954.28,16229,16329.85,184960.7885,184960.7885
2022/11/12,17069.98,17119.1,16631.39,16812.08,167819.9604,167819.9604
2022/11/11,17602.45,17695,16361.6,17070.31,393552.8649,393552.8649
2022/11/10,15922.68,18199,15754.26,17601.15,608448.3643,608448.3643
2022/11/9,18545.38,18587.76,15588,15922.81,731926.9297,731926.9297
2022/11/8,20590.67,20700.88,17166.83,18547.23,760705.3628,760705.3628
2022/11/7,20905.58,21069.77,20384.89,20591.13,386977.6034,386977.6034
2022/11/6,21299.37,21365.27,20886.13,20905.58,230036.9722,230036.9722
2022/11/5,21148.52,21480.65,21080.65,21299.37,245621.9853,245621.9853
2022/11/4,20207.12,21302.05,20180.96,21148.52,453694.3917,453694.3917
2022/11/3,20151.84,20393.32,20031.24,20207.82,319185.1544,319185.1544
2022/11/2,20482.81,20800,20048.04,20151.84,373716.273,373716.273
2022/11/1,20490.74,20700,20330.74,20483.62,279932.4377,279932.4377
2022/10/31,20627.48,20845.92,20237.95,20490.74,303567.6163,303567.6163
2022/10/30,20809.68,20931.21,20515,20627.48,192795.6089,192795.6089
2022/10/29,20591.84,21085,20554.01,20809.67,254881.7776,254881.7776
2022/10/28,20295.11,20750,20000.09,20591.84,287039.9457,287039.9457
2022/10/27,20771.61,20872.21,20200,20295.11,328643.5779,328643.5779
2022/10/26,20079.02,21020,20050.41,20771.59,380492.6958,380492.6958
2022/10/25,19330.6,20415.87,19237,20080.07,326370.6706,326370.6706
2022/10/24,19570.4,19601.15,19157,19329.72,256168.1447,256168.1447
2022/10/23,19204.29,19695,19070.11,19570.4,167057.2018,167057.2018
2022/10/22,19164.37,19257,19112.72,19204.35,110403.9084,110403.9084
2022/10/21,19041.92,19250,18650,19164.37,269310.7577,269310.7577
2022/10/20,19123.35,19347.82,18900,19041.92,223530.1307,223530.1307
2022/10/19,19327.44,19360.16,19065.97,19123.97,186137.2954,186137.2954
2022/10/18,19548.48,19706.66,19091,19327.44,260313.0785,260313.0785
2022/10/17,19262.98,19676.96,19152.03,19549.86,222813.8763,222813.8763
2022/10/16,19068.4,19425.84,19063.74,19262.98,131894.6189,131894.6189
2022/10/15,19176.93,19227.68,18975.18,19069.39,113847.6423,113847.6423
2022/10/14,19375.58,19951.87,19070.37,19176.93,351634.326,351634.326
2022/10/13,19155.1,19513.79,18190,19375.13,399756.6834,399756.6834
2022/10/12,19060,19238.31,18965.88,19155.53,213826.2673,213826.2673
2022/10/11,19131.87,19268.09,18860,19060,243473.8429,243473.8429
2022/10/10,19439.96,19525,19020.25,19131.87,212509.0985,212509.0985
2022/10/9,19416.52,19558,19316.04,19439.02,113900.8268,113900.8268
2022/10/8,19530.09,19627.38,19237.14,19417.96,102480.0984,102480.0984
2022/10/7,19960.67,20068.82,19320,19530.09,220874.8391,220874.8391
2022/10/6,20158.26,20456.6,19853,19960.67,320122.1702,320122.1702
2022/10/5,20337.82,20365.6,19730,20158.26,312239.7522,312239.7522
2022/10/4,19629.08,20475,19490.6,20337.82,327012.0013,327012.0013
2022/10/3,19057.74,19719.1,18959.68,19629.08,293585.7521,293585.7521
2022/10/2,19312.24,19395.91,18920.35,19056.8,206812.4703,206812.4703
2022/10/1,19422.61,19484,19159.42,19310.95,165625.1396,165625.1396
2022/9/30,19590.54,20185,19155.36,19422.61,444322.9534,444322.9534
2022/9/29,19412.82,19645.52,18843.01,19591.51,406424.9326,406424.9326
2022/9/28,19078.1,19790,18471.28,19412.82,521385.4555,521385.4555
2022/9/27,19226.68,20385.86,18816.32,19079.13,593260.7416,593260.7416
2022/9/26,18809.13,19318.96,18680.72,19227.82,439239.2194,439239.2194
2022/9/25,18921.99,19180.21,18629.2,18807.38,191191.4492,191191.4492
2022/9/24,19288.57,19316.14,18805.34,18920.5,239496.5675,239496.5675
2022/9/23,19401.63,19500,18531.42,19289.91,385886.9183,385886.9183
2022/9/22,18461.36,19550.17,18356.39,19401.63,379321.7211,379321.7211
2022/9/21,18874.31,19956,18125.98,18461.36,385034.1002,385034.1002
2022/9/20,19537.02,19634.62,18711.87,18875,324098.3286,324098.3286
2022/9/19,19417.45,19686.2,18232.56,19537.02,380512.4031,380512.4031
2022/9/18,20112.61,20117.26,19335.62,19416.18,254217.469,254217.469
2022/9/17,19803.3,20189,19748.08,20113.62,179350.2434,179350.2434
2022/9/16,19701.88,19890,19320.01,19803.3,283791.0706,283791.0706
2022/9/15,20227.17,20330.24,19497,19701.88,333069.7608,333069.7608
2022/9/14,20173.62,20541.48,19617.62,20226.71,340826.4015,340826.4015
2022/9/13,22395.44,22799,19860,20173.57,431915.0333,431915.0333
2022/9/12,21826.87,22488,21538.51,22395.74,395395.6183,395395.6183
2022/9/11,21647.21,21860,21350,21826.87,280702.5515,280702.5515
2022/9/10,21361.62,21810.8,21111.13,21648.34,307997.335,307997.335
2022/9/9,19320.54,21597.22,19291.75,21360.11,428919.7465,428919.7465
2022/9/8,19292.85,19458.25,19012,19319.77,262813.2827,262813.2827
2022/9/7,18790.61,19464.06,18510.77,19292.84,287394.7788,287394.7788
2022/9/6,19795.34,20180,18649.51,18790.61,356315.0572,356315.0572
2022/9/5,20000.3,20057.27,19633.83,19796.84,222543.0106,222543.0106
2022/9/4,19832.45,20029.23,19583.1,20000.3,145588.7789,145588.7789
2022/9/3,19950.98,20055.93,19652.72,19831.9,146639.032,146639.032
2022/9/2,20132.64,20441.26,19755.29,19951.86,245986.6033,245986.6033
2022/9/1,20048.44,20208.37,19565.66,20131.46,245289.9726,245289.9726
2022/8/31,19813.03,20490,19797.94,20050.02,276946.6077,276946.6077
2022/8/30,20287.2,20576.25,19540,19811.66,256634.3553,256634.3553
2022/8/29,19555.61,20433.62,19550.79,20285.73,210509.4955,210509.4955
2022/8/28,20037.6,20171.18,19520,19555.61,139307.9598,139307.9598
2022/8/27,20239.14,20402.93,19800,20037.6,162582.4603,162582.4603
2022/8/26,21559.04,21886.77,20107.9,20241.05,273811.6196,273811.6196
2022/8/25,21368.05,21819.88,21310.15,21559.04,169915.783,169915.783
2022/8/24,21529.11,21900,21145,21368.08,174383.2205,174383.2205
2022/8/23,21400.75,21684.87,20890.14,21529.12,200967.7716,200967.7716
2022/8/22,21516.7,21548.71,20890.18,21399.83,222222.0453,222222.0453
2022/8/21,21140.07,21800,21069.11,21515.61,159200.6841,159200.6841
2022/8/20,20834.39,21382.85,20761.9,21140.07,183041.6836,183041.6836
2022/8/19,23191.45,23208.67,20783.57,20834.39,283995.8775,283995.8775
2022/8/18,23342.66,23600,23111.04,23191.2,144185.9701,144185.9701
2022/8/17,23856.15,24446.71,23180.4,23342.66,210668.6877,210668.6877
2022/8/16,24093.04,24247.49,23671.22,23854.74,179324.9482,179324.9482
2022/8/15,24305.25,25211.32,23773.22,24094.82,242539.5476,242539.5476
2022/8/14,24443.06,25047.56,24144,24305.24,151206.1447,151206.1447
2022/8/13,24401.7,24888,24291.22,24441.38,152852.2544,152852.2544
2022/8/12,23933.09,24456.5,23583,24403.68,174207.5704,174207.5704
2022/8/11,23954.05,24918.54,23852.13,23934.39,249759.7956,249759.7956
2022/8/10,23151.32,24226,22664.69,23954.05,208916.5495,208916.5495
2022/8/9,23810.98,23933.25,22865,23149.95,143182.5086,143182.5086
2022/8/8,23174.39,24245,23154.25,23810,170958.4415,170958.4415
2022/8/7,22954.21,23402,22844.62,23174.39,88890.00877,88890.00877
2022/8/6,23313.56,23354.36,22909.52,22954.21,83911.80307,83911.80307
2022/8/5,22622.41,23472.86,22586.95,23312.42,175251.6975,175251.6975
2022/8/4,22816.91,23223.32,22400,22622.98,154854.6702,154854.6702
2022/8/3,22985.93,23647.68,22681.22,22818.37,145948.81,145948.81
2022/8/2,23266.9,23459.89,22654.37,22987.79,158073.2823,158073.2823
2022/8/1,23296.36,23509.68,22850,23268.01,144210.1622,144210.1622
2022/7/31,23644.64,24194.82,23227.31,23293.32,127743.3248,127743.3248
2022/7/30,23777.28,24668,23502.25,23643.51,151060.1321,151060.1321
2022/7/29,23845.25,24442.66,23414.03,23773.75,198298.5062,198298.5062
2022/7/28,22954.31,24199.72,22582.13,23842.93,236029.0741,236029.0741
2022/7/27,21254.67,23112.63,21042.53,22952.45,210971.198,210971.198
2022/7/26,21310.9,21347.82,20706.5,21254.67,177817.2433,177817.2433
2022/7/25,22577.13,22666,21250,21310.9,180344.7664,180344.7664
2022/7/24,22448.58,23014.64,22257.15,22579.68,115189.6728,115189.6728
2022/7/23,22684.83,23000.77,21934.57,22451.07,122137.7738,122137.7738
2022/7/22,23152.19,23756.49,22500,22684.83,171598.4397,171598.4397
2022/7/21,23223.3,23442.77,22341.46,23152.19,184817.6819,184817.6819
2022/7/20,23398.48,24276.74,22906.19,23223.3,238762.1709,238762.1709
2022/7/19,22432.58,23800,21579.54,23396.62,263770.7657,263770.7657
2022/7/18,20799.58,22777.63,20762.45,22432.58,239942.7313,239942.7313
2022/7/17,21195.6,21684.54,20750.01,20798.16,118229.4525,118229.4525
2022/7/16,20830.04,21588.94,20478.61,21195.6,121011.6739,121011.6739
